entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
NEUTRAL	8589.0	4.3	A man with a white hat and brown shirt is behind a woman in red and is looking to the right	A man with a white hat and brown shirt is behind a woman in red and is looking to the left
NEUTRAL	8590.0	2.6	An Arabic man is wearing a white hat	A man with a white hat and brown shirt is behind a woman in red and is looking to the side
NEUTRAL	8593.0	2.3	An Arabic man isn't wearing a white hat	A man with a white hat and brown shirt is behind a woman in red and is looking to the left
NEUTRAL	8594.0	2.4	A man with a white hat and brown shirt is behind a woman in red and is looking to the left	An Arabic man is wearing a white hat
NEUTRAL	8596.0	4.1	Little kids are playing in a water fountain in front of lots of people	Little kids are playing in a water fountain in front of few people
ENTAILMENT	8597.0	4.3	Children are playing in a fountain that is spraying water from the ground	Children are playing in ground fountains
NEUTRAL	8598.0	3.35	Children are playing in a fountain that is spraying water from the ground	Animals are playing in fountains that spray water from the ground
NEUTRAL	8600.0	2.9	Little kids are playing in a water fountain in front of lots of people	Animals are playing in fountains that spray water from the ground
NEUTRAL	8601.0	3.7	Little boys are playing in a water fountain in front of lots of people	Children are playing in a fountain that is spraying water from the ground
ENTAILMENT	8606.0	4.9	A person on a yellow bike is airborne	A cyclist on a yellow bike is airborne
CONTRADICTION	8607.0	3.9	A cyclist on a yellow bike is airborne	There is no cyclist on a yellow bike airborne
ENTAILMENT	8608.0	4.3	A person on a yellow bike is airborne	A person on a yellow dirt bike is taking a jump
CONTRADICTION	8609.0	3.7	There is no cyclist on a yellow bike airborne	A person on a yellow dirt bike is taking a jump
ENTAILMENT	8610.0	4.5	A man on a yellow dirt bike is taking a jump	A cyclist on a yellow bike is airborne
ENTAILMENT	8611.0	4.4	A person on a yellow clean bike is taking a jump	A cyclist on a yellow bike is airborne
ENTAILMENT	8613.0	5.0	The bicycle is being ridden by a man wearing a beret on a recreation trail	A man is wearing a beret and is riding the bicycle on a recreation trail
NEUTRAL	8614.0	3.4	A man is wearing a beret and is riding the bicycle on a recreation trail	A woman is wearing a beret and is riding the bicycle on a recreation trail
NEUTRAL	8618.0	2.365	A man is wearing a beret and is riding the bicycle on a recreation trail	An old man with a grey beard is not riding a bike
NEUTRAL	8620.0	2.7	A woman is wearing a beret and is riding the bicycle on a recreation trail	An old man with a grey beard is riding a bike
ENTAILMENT	8622.0	4.9	Five adults are sitting on stone steps	Five adults are sitting on steps made of stone
ENTAILMENT	8624.0	4.1	People are sitting against a wall	People are sitting near a wall
NEUTRAL	8626.0	3.0	Five adults are sitting on stone steps	People are sitting near a wall
NEUTRAL	8627.0	1.8	Five adults are sitting on stone steps	People is standing against a wall
NEUTRAL	8629.0	2.8	Five adults are sitting on a chair	People are sitting against a wall
NEUTRAL	8630.0	3.2	People are sitting against a wall	Five adults are sitting on stone steps
ENTAILMENT	8631.0	4.4	A man is rock climbing and a city and a bay are in the background	A person is rock climbing and a city and a bay are in the background
NEUTRAL	8635.0	3.8	A man is rock climbing, stopping and calculating the route	A man is rock climbing and a city and a bay are in the background
NEUTRAL	8636.0	3.5	A woman is rock climbing, pausing and calculating the route	A man is rock climbing and a city and a bay are in the background
NEUTRAL	8637.0	3.55	A man is rock climbing, pausing and calculating the route	A person is rock climbing and a city and a bay are in the background
NEUTRAL	8639.0	3.3	A man is rock climbing, pausing and calculating the route	A man is rock climbing and a city and a bay are in the background
NEUTRAL	8645.0	4.1	A little girl is hitting a ball off a tee	A little girl in a pink shirt is playing t-ball and taking a swing
NEUTRAL	8646.0	3.9	A little girl is missing a baseball on a tee	A little girl in a pink shirt is playing t-ball and taking a swing
NEUTRAL	8647.0	3.3	A little girl in a pink shirt is playing t-ball and taking a swing	A girl is hitting a little tee with a baseball
NEUTRAL	8649.0	3.3	A little girl is hitting a baseball off a tee	A little boy in a pink shirt is playing t-ball and taking a swing
ENTAILMENT	8651.0	4.8	People are grouping at a stand at the fair	A group of people is gathering at a stand at the fair
NEUTRAL	8656.0	2.8	A group of people is gathering at a stand at the fair	The people are running at a carnival
NEUTRAL	8657.0	3.6	People are grouping at a stand at the fair	The people are standing at a carnival
CONTRADICTION	8663.0	4.3	Rollerbladers are rolling in formation down a hill	Rollerbladers are not rolling in formation down a hill
NEUTRAL	8664.0	3.8	Rollerbladers are running in formation down a hill	A group of rollerbladers is lining up on the street
NEUTRAL	8665.0	3.2	Rollerbladers are not rolling in formation down a hill	A group of rollerbladers is lining up on the street
NEUTRAL	8668.0	3.4	Rollerbladers are rolling in formation down a hill	A group of rollerbladers is lining up on the street
ENTAILMENT	8669.0	4.4	A woman is marching with a pair of dogs	A woman is walking with a pair of dogs
NEUTRAL	8674.0	2.4	A woman is marching with a pair of dogs	A woman is showing a dog with very short hair at a dog show
NEUTRAL	8675.0	2.8	A woman is walking with a pair of dogs	A woman is showing a dog with very long hair at a dog show
NEUTRAL	8676.0	3.0	A woman is standing with a pair of dogs	A woman is showing a dog with very long hair at a dog show
CONTRADICTION	8679.0	3.3	A skateboarder is making a jump off a ramp	No skateboarder is making a jump off a ramp
ENTAILMENT	8680.0	4.6	A man dressed in black is wearing inline skates and performing acrobatics on a rail	A man dressed in black is wearing inline skates and performing a trick on a rail
NEUTRAL	8683.0	3.0	A skateboarder is making a jump off a ramp	A woman dressed in black is wearing inline skates and performing a trick on a rail
NEUTRAL	8684.0	3.0	A man dressed in black is wearing inline skates and performing a trick on a rail	A skateboarder is jumping off a ramp
NEUTRAL	8685.0	2.3	No skateboarder is making a jump off a ramp	A man dressed in black is wearing inline skates and performing a trick on a rail
NEUTRAL	8686.0	2.4	A man dressed in black is wearing inline skates and performing a trick on a rail	A skateboarder is making a jump off a ramp
ENTAILMENT	8689.0	4.9	Three children are running down a grassy hillside	Three children are running down a hillside covered by grass
NEUTRAL	8690.0	4.3	Three children are running up a grassy hillside	Three children are running down a grassy hillside
ENTAILMENT	8691.0	4.3	Three children are running down a hillside covered by grass	Three children are running down hill
NEUTRAL	8692.0	3.8	Three children are running down hill	Three children are running up a grassy hillside
ENTAILMENT	8696.0	4.6	A black and orange bird is standing on the lawn	A black and orange bird is standing in the grass
CONTRADICTION	8697.0	3.4	A black and orange bird is standing in the grass	A black and orange bird is not standing in the grass
NEUTRAL	8699.0	3.8	A white bird with a yellow beak is standing in the green grass	A black bird with a yellow beak is standing in the green grass
NEUTRAL	8702.0	3.7	A black and orange bird is standing on the lawn	A black bird with a yellow beak is standing in the green grass
ENTAILMENT	8705.0	4.6	A shirtless man is posing with a girl who is hiking in a park	A shirtless person is posing with a girl who is hiking in a park
NEUTRAL	8708.0	4.2	A man with a shirt is posing with the arms spread next to a woman	A man without a shirt is posing with the arms spread next to a woman
ENTAILMENT	8709.0	4.1	A shirtless man is posing with a girl who is hiking in a park	A man without a shirt is posing with the arms spread near a woman
NEUTRAL	8712.0	2.9	A man without a shirt is posing with the arms spread next to a woman	A shirtless woman is posing with a girl who is hiking in a park
ENTAILMENT	8716.0	4.4	Two white puppies are playing near a pool	Two white puppies are playing near water
NEUTRAL	8719.0	1.6	Two white dogs are running together	Two black puppies are playing near a pool
CONTRADICTION	8724.0	3.1	A group of people are not standing around a sound mixing table	A group of people are standing around a sound mixing table
NEUTRAL	8728.0	3.7	A group of people are standing around a sound mixing table	A group of people are not looking at sound equipment
NEUTRAL	8738.0	4.1	A young couple is sleeping in bed	A young couple is lying on a bed together
CONTRADICTION	8739.0	3.7	A young couple is lying on a bed together	A young couple is not lying in bed
ENTAILMENT	8741.0	4.5	Three men are walking across a rope and wood bridge over a river	Three people are walking across a rope and wood bridge over a river
NEUTRAL	8742.0	4.0	Three people are walking across a rope and wood bridge over a river	Three people are walking across a rope and steel bridge over a river
ENTAILMENT	8743.0	4.9	People are crossing a rope bridge over a rocky stream	People are walking across a rope bridge over a rocky stream
NEUTRAL	8746.0	3.285	Three people are walking across a rope and wood bridge over a river	People are not walking across a rope bridge over a rocky stream
ENTAILMENT	8748.0	3.6	Three people are walking across a rope and steel bridge over a river	People are walking across a rope bridge over a rocky stream
NEUTRAL	8749.0	4.35	People are walking across a rope bridge over a rocky stream	Three people are walking across a rope and wood bridge over a river
ENTAILMENT	8750.0	4.6	Four people are walking on a bridge over a river	Four people are walking on a bridge over a body of water
NEUTRAL	8751.0	4.1	Four people are walking on a bridge over a body of water	Four people are sitting on a bridge over a body of water
CONTRADICTION	8753.0	3.8	Several people are walking in line across a bridge	Several people are not walking in line across a bridge
NEUTRAL	8756.0	3.9	Four people are walking on a bridge over a river	Several people are walking in line across a bridge
NEUTRAL	8757.0	3.3	Four people are sitting on a bridge over a body of water	Several people are walking in line across a bridge
ENTAILMENT	8759.0	4.9	A young boy is jumping into water	A young kid is jumping into water
CONTRADICTION	8760.0	3.5	A young boy is jumping out of the water	A young boy is jumping into water
NEUTRAL	8766.0	2.2	A young boy is jumping out of the water	A child is wearing a yellow jacket and is jumping down from a rock
NEUTRAL	8767.0	2.6	A child is wearing a yellow jacket and is jumping down from a rock	A young boy is jumping into water
ENTAILMENT	8768.0	4.9	The young child is riding a three wheeled scooter down the sidewalk	A young child is riding a three wheeled scooter down the sidewalk
NEUTRAL	8775.0	3.6	No young child is riding a three wheeled scooter down the sidewalk	A toddler is riding a plastic scooter toy
ENTAILMENT	8777.0	4.4	Three men are sitting on a mountainside and looking at the view with a pair of binoculars	Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars
NEUTRAL	8779.0	4.2	Three men are lying on a hill and looking at the mountains and sky	Three men are sitting on a hill and looking at the mountains and sky
NEUTRAL	8781.0	3.1	Three men are lying on a hill and looking at the mountains and sky	Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars
NEUTRAL	8783.0	3.7	Three men are sitting on a mountainside and looking at the view with a pair of binoculars	Three men are sitting on a hill and looking at the mountains and sky
